AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,class
14.283026,6.533285,3.315522,4.585827,2.697462,1.292683,1.359602,1.262841,2.936987,5.73711,16.670447,5.171143,1.93381,1.532587,2.085502,2.141648,4.69441,2.074695,10.192622,11.014556,6.550086,2.616337,2.018653,2.554126,2.745846,happy
27.58818,10.313875,2.357764,5.754287,7.235111,1.108916,4.859129,2.40081,10.498481,18.837588,10.623304,5.743145,2.621722,6.019476,7.46938,16.195721,8.956831,3.518105,8.855764,16.977673,12.610604,6.112345,2.342423,5.532094,7.247117,happy
19.772526,2.300909,0.722444,1.238789,0.911844,1.342213,0.575621,0.579231,1.079267,0.927185,20.840338,8.226934,3.660559,4.772687,1.843518,3.623647,0.595161,1.415248,1.306366,2.579112,8.596872,3.248216,0.751783,0.691111,0.815614,sad
6.768979,2.074605,2.53065,2.142463,2.085114,4.795573,2.796389,3.221571,2.190827,6.306439,19.387123,6.291899,6.333693,4.54494,3.60867,33.396841,7.400082,4.448841,6.982637,4.545688,13.965873,9.916754,6.692845,5.625182,5.097059,sad
14.729905,4.817524,4.268947,2.12469,1.009111,2.41569,0.883972,0.869784,1.567929,1.692419,11.061404,7.621928,2.789713,1.213099,1.575477,4.434906,1.106463,3.511579,0.858593,2.218837,17.41448,2.953801,4.276488,2.287159,1.233345,sad
29.238729,9.466765,8.318382,4.945227,2.887622,2.252458,2.092225,1.773144,5.285021,2.617408,4.927437,6.372554,2.306667,3.535179,1.002569,24.113229,7.761998,6.485662,5.369218,8.366711,20.609263,6.573037,3.831731,4.634646,3.223202,happy
19.316995,3.623432,1.533192,0.970907,1.098334,1.820492,0.907944,0.432871,1.388799,1.477323,8.786864,3.368727,1.782898,1.144923,1.890462,64.069054,10.21107,7.413543,4.201966,4.799647,13.113363,1.916659,4.349111,1.677787,2.260341,sad
16.07895,4.630758,1.599152,2.501142,1.87962,2.124236,0.798058,2.647677,2.712926,3.976919,65.65923,5.161506,2.082367,1.805834,1.833502,4.570845,2.956836,3.941292,12.252327,14.019767,6.313423,2.771766,1.278931,1.836954,1.853159,happy
34.130212,7.292718,3.030639,3.411464,1.825296,14.870086,4.959378,4.707601,4.401849,4.290816,3873.111764,1132.581507,512.718292,254.554869,77.016147,17.834351,3.97023,6.052241,5.294978,2.913546,64.719823,13.030665,10.438522,5.449648,4.755515,sad
79.311439,14.170619,8.421399,4.092974,2.226197,2.136712,2.580506,2.239661,3.54892,3.236142,5.287649,2.911688,2.173939,3.196435,1.773888,27.920889,16.285151,8.812346,6.126303,9.047219,26.359872,7.896556,3.105237,3.548639,2.314419,happy
25.989918,6.855215,5.394706,2.923768,2.690511,4.369263,1.229855,6.745666,4.177021,6.421704,9.015526,4.186411,2.958746,3.330318,2.432142,3.01042,2.140501,2.966219,7.153942,7.459943,17.880243,5.830268,3.386426,3.730958,3.10354,happy
5.722603,2.359279,1.115251,0.972606,1.352241,1.222697,1.044575,1.242623,2.053847,2.037792,10.692377,1.43584,2.475177,2.456779,1.136129,2.014363,0.728017,2.354201,2.993578,4.177375,11.624006,5.366511,0.906816,2.253882,1.016175,sad
29.512124,3.5406,1.617698,2.025582,1.802287,0.852985,1.86411,1.770034,3.261771,4.588481,5.686115,2.999572,1.875677,3.451497,2.078791,0.676864,1.961664,10.841576,8.87883,13.058701,13.115126,2.378312,1.052572,4.427045,1.911703,happy
5.325363,2.527473,3.921769,2.408693,1.131118,1.015546,1.00059,1.677537,2.169092,3.582712,7.084072,0.490462,2.51057,2.007857,1.486479,1.914566,3.619332,2.192553,9.260966,16.377388,3.886332,2.180952,2.686218,3.289848,1.525301,happy
123.656243,17.703629,6.185205,15.142668,13.455245,4.63748,2.104265,3.404035,24.318935,28.963664,3.326719,2.34464,3.790062,13.187924,16.253845,4.170212,4.60461,5.873541,20.915057,25.368659,41.12276,8.297905,3.327885,16.321751,12.020298,happy
7.372606,3.900719,3.973464,2.761413,0.799961,0.595324,0.818743,1.003151,1.508671,1.765955,0.96323,1.177669,2.108523,1.536523,1.111236,1.754355,3.042262,5.316673,4.514017,3.418881,4.60467,2.60845,2.423927,1.636352,1.230615,sad
39.731542,12.457472,1.945897,1.340809,1.0162,1.641153,0.342302,0.287547,2.159508,2.076955,2.165208,3.59526,1.921577,2.209654,1.31826,2.640009,1.244025,2.636764,2.581282,2.759707,22.01351,6.189527,3.249743,0.840926,1.765881,sad
56.102181,17.274595,3.592374,2.107414,0.935476,5.328583,6.32044,2.476606,2.381003,1.967108,3.465998,13.16287,2.986184,2.220466,1.54407,1.692996,8.583257,3.319659,3.356849,2.761966,23.700706,13.092498,2.888565,2.041088,1.441048,sad
3.244064,2.317295,2.779762,0.671538,1.25009,0.876313,0.937448,1.086283,1.081901,1.666416,73.779388,28.864845,11.037576,4.649617,2.518596,0.831641,0.833103,3.480742,1.722557,2.741017,3.755005,2.583535,1.039657,0.800704,1.709472,sad
