AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
336.200598,103.42873,26.861023,4.156916,3.294662,267.03489,71.586901,20.745597,3.658083,3.817358,40.356352,15.778207,4.422883,0.922683,1.309063,209.060741,79.533391,21.836487,6.10558,4.07471,258.919467,88.274432,28.452043,4.272567,3.138509,happy
10.301252,3.2131,1.278686,1.082277,0.547811,7.488873,1.611611,1.80632,1.056747,2.033314,8.552379,1.930746,2.178262,1.845572,1.444058,1.36591,1.140086,0.470167,0.992159,0.837779,10.658368,3.924199,0.394112,0.924062,0.773496,happy
68.235501,5.857107,4.337702,7.216328,13.173554,24.437098,6.346221,6.965848,5.992241,7.753864,5.444873,2.314348,8.827026,7.821151,12.851684,4.760489,1.347013,2.790413,2.454449,5.48923,121.400546,37.708403,20.067784,13.743738,14.785535,happy
1.69961,2.587441,1.412716,0.491327,0.645655,1.061076,0.577006,0.536923,1.174273,0.438858,0.941972,1.12649,0.72948,0.590518,0.51055,1.328156,0.698485,0.626964,0.472355,0.833134,2.311648,1.496188,0.709732,0.708351,0.840461,sad
37.742918,6.785341,3.400375,2.545472,2.531863,1.531726,1.988164,4.146422,3.116553,4.515352,2.497728,5.630619,3.103632,2.432989,2.355906,3.885169,4.000086,3.726573,8.965948,13.087572,15.226532,3.813427,2.297572,2.245003,2.443165,happy
11.311749,4.448898,2.279235,0.543186,0.523401,5.601243,1.767834,1.4174,0.826535,0.530518,8.703449,4.409142,4.16865,1.201505,0.834286,0.309967,0.496199,0.626603,0.294013,0.137563,10.403768,2.390112,2.289992,0.872031,0.430416,sad
22.962397,5.423794,2.259524,2.006427,1.442434,1.071237,0.853254,1.121067,1.18998,2.241416,3.473299,0.845991,1.17276,0.987216,0.934235,4.209665,0.954372,1.833625,2.229101,3.379787,14.968686,3.846023,2.126937,1.573066,1.897507,sad
71.301079,15.726504,4.358267,2.323676,5.160671,39.382459,9.380672,8.025554,2.168167,1.440371,143.854674,105.027382,77.503298,32.681842,16.267704,12.939458,6.732507,3.450534,2.383024,2.582351,693.171668,63.459535,8.575034,2.361236,3.232471,happy
19.991271,4.321794,4.224997,1.37925,0.835978,4.959579,1.978378,1.53977,1.84379,2.264854,1.254242,0.631935,0.950076,1.04111,14.618326,6.252986,3.739044,3.136173,2.681781,1.534151,6.292773,2.561357,5.485327,1.096373,0.707926,happy
6.323588,2.11852,1.661561,1.098565,1.274631,5.098878,1.269492,1.294524,2.610812,0.771782,1.643992,1.116419,0.878553,0.863192,0.484171,3.025399,1.051997,2.109142,0.684898,0.569149,9.305257,2.833257,2.985497,1.647779,0.816836,happy
199.842101,41.335009,10.188253,3.172764,3.062221,96.534459,34.628157,14.91071,5.669778,2.437928,9.989769,5.361211,2.872318,1.112776,0.670983,64.199202,22.169718,7.930312,3.882907,1.847385,135.18743,36.47028,13.204681,5.152855,2.225967,happy
5.985207,2.317817,1.150649,0.983664,0.816225,2.541344,1.570981,1.441536,2.133917,0.804291,3.203016,2.776648,1.186855,1.422941,0.846506,1.620454,1.070957,0.424619,1.156321,0.981502,35.761614,2.544779,1.925362,1.479434,1.040042,happy
3.801574,2.424568,0.778513,0.69649,0.677775,2.0011,0.613868,0.898339,0.569165,0.701786,0.553473,0.49539,0.528281,0.388353,0.542078,0.321791,1.612148,0.249792,1.175969,0.86175,1.610974,2.425302,1.356826,0.982332,0.574705,sad
73.998786,10.714429,4.257651,1.769535,0.414312,4.640227,1.803084,1.718993,1.948229,0.689987,2.025426,1.078767,0.767766,0.417164,0.408613,4.023128,2.128975,1.516753,1.173154,0.534867,17.944327,15.260831,5.984994,1.754295,0.548891,sad
